"state","puma5","msacmsa","pmsa","stab","msaname","pmsaname","pop2k","afact"
"05","01400","9999"," ","AR","Non-metro"," ",101539,1 
"05","01500","9999"," ","AR","Non-metro"," ",151212,1 
"05","01600","6240"," ","AR","Pine Bluff, AR"," ",84278,0.694 
"05","01600","9999"," ","AR","Non-metro"," ",37213,0.306 
"05","01700","9999"," ","AR","Non-metro"," ",108053,1 
"05","01800","9999"," ","AR","Non-metro"," ",114976,1 
"05","01900","8360"," ","AR","Texarkana, TX-Texarkana, AR"," ",40443,0.376 
"05","01900","9999"," ","AR","Non-metro"," ",67032,0.624 
"06","00100","9999"," ","CA","Non-metro"," ",115085,1 
"06","00200","9999"," ","CA","Non-metro"," ",126518,1 
"06","00300","6690"," ","CA","Redding, CA"," ",163256,1 
"06","00400","9999"," ","CA","Non-metro"," ",144574,1 
"06","00500","9999"," ","CA","Non-metro"," ",114318,1 
"06","00600","1620"," ","CA","Chico-Paradise, CA"," ",203171,1 
"06","00700","9999"," ","CA","Non-metro"," ",116412,1 
"06","00800","9340"," ","CA","Yuba City, CA"," ",139149,1 
"06","00900","6922","9270","CA","Sacramento-Yolo, CA (C)","Yolo, CA (P)",168660,1 
"06","01000","7362","8720","CA","San Francisco-Oakland-San Jose, CA (C)","Vallejo-Fairfield-Napa, CA (P)",124279,1 
"06","01101","7362","7500","CA","San Francisco-Oakland-San Jose, CA (C)","Santa Rosa, CA (P)",177541,1 
"06","01102","7362","7500","CA","San Francisco-Oakland-San Jose, CA (C)","Santa Rosa, CA (P)",115251,1 
"06","01103","7362","7500","CA","San Francisco-Oakland-San Jose, CA (C)","Santa Rosa, CA (P)",165822,1 
"06","01201","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",100916,1 
"06","01202","7362","7360","CA","San Francisco-Oakland-San Jose, CA (C)","San Francisco, CA (P)",146373,1 
"06","01301","7362","8720","CA","San Francisco-Oakland-San Jose, CA (C)","Vallejo-Fairfield-Napa, CA (P)",146849,1 
"06","01302","7362","8720","CA","San Francisco-Oakland-San Jose, CA (C)","Vallejo-Fairfield-Napa, CA (P)",126603,1 
"06","01303","7362","8720","CA","San Francisco-Oakland-San Jose, CA (C)","Vallejo-Fairfield-Napa, CA (P)",121090,1 
"06","01401","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",127590,1 
"06","01402","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",108826,1 
"06","01403","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",170602,1 
"06","01501","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",133925,1 
"06","01502","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",106738,1 
"06","01503","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",142880,1 
"06","01504","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",169571,1 
"06","01505","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",162285,1 
"06","01506","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",101082,1 
"06","01601","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",135702,1 
"06","01602","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",112697,1 
"06","01700","6922","6920","CA","Sacramento-Yolo, CA (C)","Sacramento, CA (P)",156299,1 
"06","01800","9999"," ","CA","Non-metro"," ",179291,1 
"06","01901","8120"," ","CA","Stockton-Lodi, CA"," ",110315,1 
"06","01902","8120"," ","CA","Stockton-Lodi, CA"," ",133456,1 
"06","02001","8120"," ","CA","Stockton-Lodi, CA"," ",149825,1 
"06","02002","8120"," ","CA","Stockton-Lodi, CA"," ",170002,1 
