GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
Id,Id2,Geography,Total:,Male:,Male: - No schooling completed,Male: - Nursery to 4th grade,Male: - 5th and 6th grade,Male: - 7th and 8th grade,Male: - 9th grade,Male: - 10th grade,Male: - 11th grade,"Male: - 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, less than 1 year","Male: - Some college, 1 or more years, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Master's degree,Male: - Professional school degree,Male: - Doctorate degree,Female:,Female: - No schooling completed,Female: - Nursery to 4th grade,Female: - 5th and 6th grade,Female: - 7th and 8th grade,Female: - 9th grade,Female: - 10th grade,Female: - 11th grade,"Female: - 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, less than 1 year","Female: - Some college, 1 or more years, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Master's degree,Female: - Professional school degree,Female: - Doctorate degree
3800000US2670,2670,"Fort Collins--Loveland, CO MSA",156426,77101,343,142,413,944,816,1007,946,1303,15810,4742,13260,5166,19304,7745,2042,3118,79325,246,112,368,1079,737,1064,1029,1464,17469,6259,13811,6068,20015,7518,1192,894
3800000US2700,2700,"Fort Myers--Cape Coral, FL MSA",327672,156646,1858,762,2014,4294,3726,5323,4868,6843,45856,11871,23878,7854,23318,7891,4595,1695,171026,1366,677,1570,3852,3323,5213,5048,7283,60767,14308,24132,11833,20875,7733,2382,664
3800000US2710,2710,"Fort Pierce--Port St. Lucie, FL MSA",232915,111433,1545,966,1919,3041,3112,3770,3706,5323,31707,8956,16711,6351,15610,4727,2896,1093,121482,1143,645,1377,2835,2586,3669,3484,5525,40183,11195,17692,9499,14679,5210,1329,431
3800000US2720,2720,"Fort Smith, AR--OK MSA",133346,63708,864,630,1396,3683,2231,2429,2482,2960,20583,4872,8823,3348,5922,1999,1171,315,69638,919,490,1359,3593,2661,3013,2965,2870,23553,5844,8943,4451,5967,2298,542,170
3800000US2750,2750,"Fort Walton Beach, FL MSA",112429,55972,264,176,379,942,880,910,889,1182,13793,5147,10864,4957,8612,5485,922,570,56457,267,221,607,1320,944,1350,1342,1798,16722,5741,9371,5113,8214,2823,377,247
3800000US2760,2760,"Fort Wayne, IN MSA",316575,151339,1056,306,1123,4516,3069,4271,3800,3950,52939,12013,20559,10800,21771,7280,2827,1059,165236,925,338,918,4654,3724,5472,4362,4011,63245,13639,22460,13068,18417,8280,1436,287
3800000US2840,2840,"Fresno, CA MSA",530370,255662,18150,7722,14233,9622,7640,7920,8704,13603,52711,16522,37528,15497,29623,8460,5105,2622,274708,17133,6710,12574,11083,7420,8909,10138,12277,62309,22186,42575,18295,31164,8240,2908,787
3800000US2880,2880,"Gadsden, AL MSA",69829,32200,352,169,763,1455,1124,1360,1273,1186,10675,2025,5372,1923,2938,929,522,134,37629,391,263,791,1839,1854,2172,1825,1298,11856,2626,5114,2751,2741,1724,287,97
3800000US2900,2900,"Gainesville, FL MSA",123524,58968,699,148,561,905,920,1046,1141,1721,10966,3356,7486,5409,11682,5766,3086,4076,64556,463,250,418,1148,965,1280,1326,1767,14067,4378,8832,6469,12680,6973,1952,1588
3800000US2975,2975,"Glens Falls, NY MSA",84321,40957,321,109,370,1526,1394,1910,1349,1498,14963,2415,4385,2938,4641,2110,816,212,43364,247,77,185,1208,966,1578,1264,1196,16080,2953,5037,4419,4728,2792,526,108
3800000US2980,2980,"Goldsboro, NC MSA",72894,34829,781,390,840,1190,1295,1356,1275,1231,11121,2826,4942,2548,3225,1059,397,353,38065,493,339,678,1235,1105,1393,1658,1365,12583,3188,5031,3106,4258,1220,221,192
3800000US2985,2985,"Grand Forks, ND--MN MSA",57569,28161,118,55,148,1524,434,561,502,538,7669,2088,5410,2479,4350,1333,573,379,29408,125,99,145,1542,367,451,620,466,7840,2495,5193,2747,5138,1742,279,159
3800000US2995,2995,"Grand Junction, CO MSA",76358,36538,394,92,327,1083,559,1131,859,1247,10636,2975,6145,2370,5637,1779,893,411,39820,234,113,269,980,743,1022,1170,1230,12518,3599,6887,3011,5537,1835,530,142
3800000US3000,3000,"Grand Rapids--Muskegon--Holland, MI MSA",669331,323041,2940,1229,3716,9094,6901,9845,8906,9464,96017,24402,48224,22150,53174,17857,6600,2522,346290,2568,930,2649,9432,6296,10435,9547,9405,112221,28895,51664,29044,51352,17229,3567,1056
3800000US3040,3040,"Great Falls, MT MSA",52333,25289,77,65,98,954,386,614,423,619,8475,1948,4329,1489,3787,1278,604,143,27044,40,30,130,764,402,670,690,786,8973,2163,4920,2049,3963,1187,238,39
3800000US3080,3080,"Green Bay, WI MSA",144172,70398,738,201,741,2448,1022,1579,1455,1774,23619,4550,9399,6311,11781,3122,1239,419,73774,721,178,587,3140,1154,1303,1254,1448,26692,5595,9345,6529,12141,2907,622,158
3800000US3120,3120,"Greensboro--Winston-Salem--High Point, NC MSA",833142,393174,5079,3048,8614,15837,14097,17089,12923,13659,111230,22400,53684,22503,63225,18133,7824,3829,439968,4276,2447,6456,15874,13383,17477,14907,13462,134185,30786,59457,29612,70073,20938,4502,2133
3800000US3150,3150,"Greenville, NC MSA",79040,36652,467,417,815,1360,1035,1312,1160,1142,9143,2235,5473,2362,6051,1780,990,910,42388,377,333,636,1602,1216,1464,1417,1102,10778,2807,5924,3597,7500,2732,488,415
3800000US3160,3160,"Greenville--Spartanburg--Anderson, SC MSA",630167,299016,3263,2753,7060,14099,10997,13980,11720,10214,83468,16148,37543,19444,45871,13685,5195,3576,331151,2954,2689,6359,16259,12238,15841,14272,10438,101911,20988,41233,23674,41542,16783,2701,1269
3800000US3240,3240,"Harrisburg--Lebanon--Carlisle, PA MSA",427256,202626,1213,467,1198,7677,5414,7093,5576,5568,76481,11115,19386,11110,31003,11652,5538,2135,224630,1517,515,909,8275,5854,7948,6654,6153,92098,13984,20767,13702,30362,11253,3821,818
3800000US3280,3280,"Hartford, CT MSA",794422,374343,3127,1888,4962,11517,8737,10447,9079,13087,105342,21968,43073,22084,69893,31837,11349,5953,420079,3720,2523,4945,13901,9505,10682,9188,13263,125083,26607,49150,33901,70347,37024,7334,2906
3800000US3285,3285,"Hattiesburg, MS MSA",65381,30381,267,211,419,1096,970,827,797,1303,8181,1844,5178,1587,4751,1449,750,751,35000,227,165,473,1232,967,1203,1239,1262,9830,2248,5736,2233,5383,2155,334,313
3800000US3290,3290,"Hickory--Morganton--Lenoir, NC MSA",230937,111344,1752,1110,2677,7729,6081,6711,4648,4182,34676,6861,13003,6353,10742,3027,1418,374,119593,1570,886,2305,7257,5612,6820,5426,3719,38511,8585,14223,8786,11591,3350,819,133
